Measure,Time,Time_type,Ethnicity,Ethnicity_type,Gender,Gender_type,Age Bracket,Age Bracket Type,Value,Denominator,Numerator,Upper bound,Lower bound,Note
Unemployment in the labour force,1993,Year,White,ONS labour expanded Asian,Male,Male/Female,25-49,Labour force age brackets,0.097,8867,,,,
Unemployment in the labour force,1993,Year,Black,ONS labour expanded Asian,Male,Male/Female,25-49,Labour force age brackets,0.312,143,,,,
Unemployment in the labour force,1993,Year,Mixed or multiple,ONS labour expanded Asian,Male,Male/Female,25-49,Labour force age brackets,0.177,28,,,,
Unemployment in the labour force,1993,Year,Indian,ONS labour expanded Asian,Male,Male/Female,25-49,Labour force age brackets,0.123,164,,,,
Unemployment in the labour force,1993,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Male,Male/Female,25-49,Labour force age brackets,0.239,92,,,,
Unemployment in the labour force,1993,Year,Chinese,ONS labour expanded Asian,Male,Male/Female,25-49,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Other Asian,ONS labour expanded Asian,Male,Male/Female,25-49,Labour force age brackets,0.151,31,,,,
Unemployment in the labour force,1993,Year,Other  ,ONS labour expanded Asian,Male,Male/Female,25-49,Labour force age brackets,0.202,28,,,,
Unemployment in the labour force,1993,Year,Unknown,ONS labour expanded Asian,Male,Male/Female,25-49,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Ethnic Minority,White and other,Male,Male/Female,25-49,Labour force age brackets,0.203,511,,,,
Unemployment in the labour force,1993,Year,All,All,Male,Male/Female,25-49,Labour force age brackets,0.102,9379,,,,
Unemployment in the labour force,1993,Year,White,ONS labour expanded Asian,Female,Male/Female,25-49,Labour force age brackets,0.065,7169,,,,
Unemployment in the labour force,1993,Year,Black,ONS labour expanded Asian,Female,Male/Female,25-49,Labour force age brackets,0.192,135,,,,
Unemployment in the labour force,1993,Year,Mixed or multiple,ONS labour expanded Asian,Female,Male/Female,25-49,Labour force age brackets,0.143,28,,,,
Unemployment in the labour force,1993,Year,Indian,ONS labour expanded Asian,Female,Male/Female,25-49,Labour force age brackets,0.109,126,,,,
Unemployment in the labour force,1993,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Female,Male/Female,25-49,Labour force age brackets,0.272,24,,,,
Unemployment in the labour force,1993,Year,Chinese,ONS labour expanded Asian,Female,Male/Female,25-49,Labour force age brackets,0.093,23,,,,Small sample size
Unemployment in the labour force,1993,Year,Other Asian,ONS labour expanded Asian,Female,Male/Female,25-49,Labour force age brackets,0.111,24,,,,Small sample size
Unemployment in the labour force,1993,Year,Other  ,ONS labour expanded Asian,Female,Male/Female,25-49,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Unknown,ONS labour expanded Asian,Female,Male/Female,25-49,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Ethnic Minority,White and other,Female,Male/Female,25-49,Labour force age brackets,0.153,370,,,,
Unemployment in the labour force,1993,Year,All,All,Female,Male/Female,25-49,Labour force age brackets,0.069,7541,,,,
Unemployment in the labour force,1993,Year,White,ONS labour expanded Asian,,All,50-64,Labour force age brackets,0.085,5134,,,,
Unemployment in the labour force,1993,Year,Black,ONS labour expanded Asian,,All,50-64,Labour force age brackets,0.231,73,,,,
Unemployment in the labour force,1993,Year,Mixed or multiple,ONS labour expanded Asian,,All,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Indian,ONS labour expanded Asian,,All,50-64,Labour force age brackets,0.182,54,,,,
Unemployment in the labour force,1993,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,,All,50-64,Labour force age brackets,0.375,25,,,,
Unemployment in the labour force,1993,Year,Chinese,ONS labour expanded Asian,,All,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Other Asian,ONS labour expanded Asian,,All,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Other  ,ONS labour expanded Asian,,All,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Unknown,ONS labour expanded Asian,,All,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Ethnic Minority,White and other,,All,50-64,Labour force age brackets,0.22,182,,,,
Unemployment in the labour force,1993,Year,All,All,,All,50-64,Labour force age brackets,0.09,5318,,,,
Unemployment in the labour force,1993,Year,White,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,0.109,2983,,,,
Unemployment in the labour force,1993,Year,Black,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,0.299,44,,,,
Unemployment in the labour force,1993,Year,Mixed or multiple,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Indian,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,0.188,38,,,,
Unemployment in the labour force,1993,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,0.386,23,,,,
Unemployment in the labour force,1993,Year,Chinese,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Other Asian,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Other  ,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Unknown,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Ethnic Minority,White and other,Male,Male/Female,50-64,Labour force age brackets,0.258,125,,,,
Unemployment in the labour force,1993,Year,All,All,Male,Male/Female,50-64,Labour force age brackets,0.115,3109,,,,
Unemployment in the labour force,1993,Year,White,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,0.051,2152,,,,
Unemployment in the labour force,1993,Year,Black,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,0.122,28,,,,Small sample size
Unemployment in the labour force,1993,Year,Mixed or multiple,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Indian,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,0.165,16,,,,Small sample size
Unemployment in the labour force,1993,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Chinese,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Other Asian,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Other  ,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Unknown,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Ethnic Minority,White and other,Female,Male/Female,50-64,Labour force age brackets,0.135,57,,,,
Unemployment in the labour force,1993,Year,All,All,Female,Male/Female,50-64,Labour force age brackets,0.054,2208,,,,
Unemployment in the labour force,1993,Year,White,White and other,,All,16+,Labour force age brackets,0.098,26216,,,,
Unemployment in the labour force,1993,Year,White,White and other,Male,Male/Female,16+,Labour force age brackets,0.116,14583,,,,
Unemployment in the labour force,1993,Year,White,White and other,Female,Male/Female,16+,Labour force age brackets,0.074,11633,,,,
Unemployment in the labour force,1993,Year,White,White and other,,All,16-24,Labour force age brackets,0.17,4618,,,,
Unemployment in the labour force,1993,Year,White,White and other,Male,Male/Female,16-24,Labour force age brackets,0.203,2476,,,,
Unemployment in the labour force,1993,Year,White,White and other,Female,Male/Female,16-24,Labour force age brackets,0.132,2141,,,,
Unemployment in the labour force,1993,Year,White,White and other,,All,25-49,Labour force age brackets,0.082,16036,,,,
Unemployment in the labour force,1993,Year,White,White and other,Male,Male/Female,25-49,Labour force age brackets,0.097,8867,,,,
Unemployment in the labour force,1993,Year,White,White and other,Female,Male/Female,25-49,Labour force age brackets,0.065,7169,,,,
Unemployment in the labour force,1993,Year,White,White and other,,All,50-64,Labour force age brackets,0.085,5134,,,,
Unemployment in the labour force,1993,Year,White,White and other,Male,Male/Female,50-64,Labour force age brackets,0.109,2983,,,,
Unemployment in the labour force,1993,Year,White,White and other,Female,Male/Female,50-64,Labour force age brackets,0.051,2152,,,,
Unemployment in the labour force,1994,Year,White,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.089,26175,,,,
Unemployment in the labour force,1994,Year,Black,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.253,409,,,,
Unemployment in the labour force,1994,Year,Mixed or multiple,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.218,83,,,,
Unemployment in the labour force,1994,Year,Indian,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.132,428,,,,
Unemployment in the labour force,1994,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.278,195,,,,
Unemployment in the labour force,1994,Year,Chinese,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.113,68,,,,
Unemployment in the labour force,1994,Year,Other Asian,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.164,75,,,,
Unemployment in the labour force,1994,Year,Other  ,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.238,55,,,,
Unemployment in the labour force,1994,Year,Unknown,ONS labour expanded Asian,,All,16+,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1994,Year,Ethnic Minority,White and other,,All,16+,Labour force age brackets,0.202,1312,,,,
Unemployment in the labour force,1994,Year,All,All,,All,16+,Labour force age brackets,0.095,27493,,,,
Unemployment in the labour force,1994,Year,White,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.105,14537,,,,
Unemployment in the labour force,1994,Year,Black,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.309,211,,,,
Unemployment in the labour force,1994,Year,Mixed or multiple,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.271,39,,,,
Unemployment in the labour force,1994,Year,Indian,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.146,247,,,,
Unemployment in the labour force,1994,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.289,143,,,,
Unemployment in the labour force,1994,Year,Chinese,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.133,39,,,,
Unemployment in the labour force,1994,Year,Other Asian,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.202,40,,,,
Unemployment in the labour force,1994,Year,Other  ,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.234,38,,,,
Unemployment in the labour force,1994,Year,Unknown,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1994,Year,Ethnic Minority,White and other,Male,Male/Female,16+,Labour force age brackets,0.231,756,,,,
Unemployment in the labour force,1994,Year,All,All,Male,Male/Female,16+,Labour force age brackets,0.111,15297,,,,
Unemployment in the labour force,1994,Year,White,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.07,11637,,,,
Unemployment in the labour force,1994,Year,Black,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.193,198,,,,
Unemployment in the labour force,1994,Year,Mixed or multiple,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.171,44,,,,
Unemployment in the labour force,1994,Year,Indian,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.114,181,,,,
Unemployment in the labour force,1994,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.248,52,,,,
Unemployment in the labour force,1994,Year,Chinese,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.086,28,,,,Small sample size
Unemployment in the labour force,1994,Year,Other Asian,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.119,34,,,,
Unemployment in the labour force,1994,Year,Other  ,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.247,17,,,,
Unemployment in the labour force,1994,Year,Unknown,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1994,Year,Ethnic Minority,White and other,Female,Male/Female,16+,Labour force age brackets,0.162,556,,,,
Unemployment in the labour force,1994,Year,All,All,Female,Male/Female,16+,Labour force age brackets,0.074,12196,,,,
Unemployment in the labour force,1994,Year,White,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.159,4403,,,,
Unemployment in the labour force,1994,Year,Black,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.429,63,,,,
Unemployment in the labour force,1994,Year,Mixed or multiple,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.329,22,,,,
Unemployment in the labour force,1994,Year,Indian,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.22,73,,,,
Unemployment in the labour force,1994,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.334,60,,,,
Unemployment in the labour force,1994,Year,Chinese,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.23,10,,,,Small sample size
Unemployment in the labour force,1994,Year,Other Asian,ONS labour expanded Asian,,All,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1994,Year,Other  ,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.476,6,,,,Small sample size
Unemployment in the labour force,1994,Year,Unknown,ONS labour expanded Asian,,All,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1994,Year,Ethnic Minority,White and other,,All,16-24,Labour force age brackets,0.322,240,,,,
Unemployment in the labour force,1994,Year,All,All,,All,16-24,Labour force age brackets,0.167,4644,,,,
Unemployment in the labour force,1994,Year,White,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,0.185,2365,,,,
Unemployment in the labour force,1994,Year,Black,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,0.521,31,,,,
Unemployment in the labour force,1994,Year,Mixed or multiple,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,0.368,11,,,,Small sample size
Unemployment in the labour force,1994,Year,Indian,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,0.293,38,,,,
Unemployment in the labour force,1994,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,0.362,35,,,,
Unemployment in the labour force,1994,Year,Chinese,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1994,Year,Other Asian,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1994,Year,Other  ,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1994,Year,Unknown,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1994,Year,Ethnic Minority,White and other,Male,Male/Female,16-24,Labour force age brackets,0.375,128,,,,
Unemployment in the labour force,1994,Year,All,All,Male,Male/Female,16-24,Labour force age brackets,0.195,2493,,,,
Unemployment in the labour force,1994,Year,White,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,0.127,2039,,,,
Unemployment in the labour force,1994,Year,Black,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,0.332,32,,,,
Unemployment in the labour force,1994,Year,Mixed or multiple,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,0.339,11,,,,Small sample size
Unemployment in the labour force,1994,Year,Indian,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,0.132,34,,,,Small sample size
Unemployment in the labour force,1994,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,0.278,25,,,,
Unemployment in the labour force,1994,Year,Chinese,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1994,Year,Other Asian,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1994,Year,Other  ,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1994,Year,Unknown,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1994,Year,Ethnic Minority,White and other,Female,Male/Female,16-24,Labour force age brackets,0.258,112,,,,
Unemployment in the labour force,1994,Year,All,All,Female,Male/Female,16-24,Labour force age brackets,0.134,2151,,,,
Unemployment in the labour force,1994,Year,White,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.075,16110,,,,
Unemployment in the labour force,1994,Year,Black,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.22,274,,,,
Unemployment in the labour force,1994,Year,Mixed or multiple,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.186,52,,,,
Unemployment in the labour force,1994,Year,Indian,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.102,300,,,,
Unemployment in the labour force,1994,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.222,113,,,,
Unemployment in the labour force,1994,Year,Chinese,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.091,52,,,,
